fish,exposureDurationMin,mortality
1,3,1
2,3,1
3,3,1
4,3,1
5,3,1
6,3,1
7,3,1
8,3,1
9,3,1
10,3,1
11,3,1
12,3,0
13,3,0
14,3,0
15,3,0
16,3,0
17,3,0
18,3,0
19,3,0
20,3,0
21,3,0
22,3,0
23,3,0
24,3,0
25,3,0
26,3,0
27,3,0
28,3,0
29,3,0
30,3,0
31,3,0
32,3,0
33,3,0
34,3,0
35,3,0
36,3,0
37,3,0
38,3,0
39,3,0
40,3,0
41,8,1
42,8,1
43,8,1
44,8,1
45,8,1
46,8,1
47,8,1
48,8,1
49,8,1
50,8,1
51,8,1
52,8,1
53,8,1
54,8,1
55,8,1
56,8,1
57,8,1
58,8,1
59,8,1
60,8,1
61,8,1
62,8,1
63,8,1
64,8,1
65,8,0
66,8,0
67,8,0
68,8,0
69,8,0
70,8,0
71,8,0
72,8,0
73,8,0
74,8,0
75,8,0
76,8,0
77,8,0
78,8,0
79,8,0
80,8,0
81,12,1
82,12,1
83,12,1
84,12,1
85,12,1
86,12,1
87,12,1
88,12,1
89,12,1
90,12,1
91,12,1
92,12,1
93,12,1
94,12,1
95,12,1
96,12,1
97,12,1
98,12,1
99,12,1
100,12,1
101,12,1
102,12,1
103,12,1
104,12,1
105,12,1
106,12,1
107,12,1
108,12,1
109,12,1
110,12,0
111,12,0
112,12,0
113,12,0
114,12,0
115,12,0
116,12,0
117,12,0
118,12,0
119,12,0
120,12,0
121,18,1
122,18,1
123,18,1
124,18,1
125,18,1
126,18,1
127,18,1
128,18,1
129,18,1
130,18,1
131,18,1
132,18,1
133,18,1
134,18,1
135,18,1
136,18,1
137,18,1
138,18,1
139,18,1
140,18,1
141,18,1
142,18,1
143,18,1
144,18,1
145,18,1
146,18,1
147,18,1
148,18,1
149,18,1
150,18,1
151,18,1
152,18,1
153,18,1
154,18,1
155,18,1
156,18,1
157,18,1
158,18,1
159,18,0
160,18,0
