ID	Hlog10	TotalAbundance	Richness	ForestRichness	OpenRichness	Treespecies	Sitetype	Ageclass	GroundVeg	HerbLayer	ShrubLayer	NeedleLitter	Litter	FineWoodDebris	CoarseWoodDebris	LeafLitter	MeanLitterDepth	OrganicMaterial	X	Y	Plot
1	1.05	34	13	2	4	Ash	Mix	5years	0.01	0.27	0.64	0.00	0.00	0.00	0	0.00	0.00	0.18	120123	183465	1
2	1.13	43	17	0	5	Ash	Mix	5years	0.01	0.45	0.39	0.00	0.00	0.00	0	0.00	0.00	0.24	120051	183558	1
3	1	48	13	1	4	Sitkaspruce	Mix	5years	0.01	0.63	0.17	0.00	0.00	0.00	0	0.00	0.00	0.27	120006	183512	1
4	0.87	35	9	1	2	Sitkaspruce	Mix	5years	0.01	0.49	0.36	0.00	0.00	0.00	0	0.00	0.00	0.17	119927	183563	1
5	0.94	45	12	1	2	Sitkaspruce	Mix	5years	0.03	0.32	0.63	0.00	0.00	0.00	0	0.00	0.00	0.38	119855	183559	1
6	1.01	92	16	1	6	Sitkaspruce	Mix	5years	0.27	0.73	0.08	0.00	0.00	0.00	0	0.00	0.00	0.90	119788	183546	1
7	1.2	94	26	2	6	Sitkaspruce	Mix	5years	0.15	0.68	0.32	0.00	0.00	0.00	0	0.00	0.00	0.91	119742	183501	1
8	0.38	61	5	4	0	Ash	Pure	35_50years	0.15	0.20	0.38	0.00	0.63	0.06	0.21	0.63	0.00	0.34	146232	102777	2
9	0.71	79	10	4	1	Ash	Pure	35_50years	0.59	0.39	0.03	0.00	0.06	0.20	0.18	0.06	0.00	0.17	146188	102818	2
10	0.82	55	11	5	2	Ash	Pure	35_50years	0.35	0.38	0.38	0.00	0.49	0.10	0.05	0.49	0.00	0.23	146158	102891	2
11	0.78	45	8	5	0	Ash	Pure	35_50years	0.36	0.29	0.00	0.00	0.44	0.20	0.27	0.44	0.00	0.16	146176	102963	2
12	0.61	45	8	4	0	Ash	Pure	35_50years	0.30	0.22	0.00	0.00	0.44	0.20	0.45	0.44	0.00	0.23	146174	103023	2
13	0.88	56	11	6	0	Ash	Pure	35_50years	0.32	0.57	0.00	0.01	0.29	0.39	0.1	0.29	0.01	0.28	313967	154284	3
14	0.85	42	12	6	0	Ash	Pure	35_50years	0.48	0.44	0.38	0.00	0.29	0.13	0.03	0.29	0.01	0.18	313953	154295	3
15	0.65	44	7	5	0	Ash	Pure	35_50years	0.23	0.18	0.00	0.00	0.68	0.16	0.05	0.68	0.01	0.22	314001	154330	3
16	0.86	115	15	8	0	Sitkaspruce	Pure	25_30years	0.13	0.00	0.03	0.73	0.03	0.03	0.02	0.03	0.20	0.85	181091	156485	4
17	0.95	102	16	7	0	Sitkaspruce	Pure	25_30years	0.03	0.00	0.03	0.78	0.00	0.27	0.13	0.00	0.65	0.84	181095	156422	4
18	0.92	145	16	8	0	Sitkaspruce	Pure	25_30years	0.39	0.00	0.03	0.59	0.00	0.03	0.11	0.00	0.25	0.92	181071	156349	4
19	0.73	108	13	7	0	Sitkaspruce	Pure	25_30years	0.14	0.00	0.03	0.83	0.00	0.08	0.1	0.00	0.40	0.41	181028	156289	4
20	0.9	142	16	6	0	Sitkaspruce	Pure	25_30years	0.10	0.00	0.03	0.88	0.00	0.08	0.05	0.00	0.85	0.79	181005	156244	4
21	1.01	67	15	3	1	Sitkaspruce	Pure	8_15years	0.56	0.38	0.88	0.57	0.10	0.02	0.02	0.10	0.08	0.75	118530	83132	5
22	1.02	82	19	6	1	Sitkaspruce	Pure	8_15years	0.24	0.00	0.88	0.78	0.00	0.03	0.02	0.00	0.10	0.83	NA	NA	5
23	0.98	185	20	4	2	Sitkaspruce	Pure	8_15years	0.63	0.41	0.68	0.25	0.00	0.00	0	0.00	0.10	0.94	118439	83191	5
24	1.05	155	28	5	2	Sitkaspruce	Pure	8_15years	0.49	0.37	0.73	0.28	0.00	0.00	0.02	0.00	0.08	0.96	118402	83207	5
25	1.18	83	20	6	0	Sitkaspruce	Pure	8_15years	0.54	0.32	0.83	0.69	0.01	0.03	0.02	0.01	0.05	0.86	118394	83283	5
26	0.85	184	18	9	1	Sitkaspruce	Mix	8_15years	0.01	0.00	0.88	0.88	0.01	0.01	0.01	0.01	0.20	0.16	190119	153985	6
27	0.93	77	15	6	1	Sitkaspruce	Mix	8_15years	0.00	0.00	0.88	0.88	0.00	0.01	0.01	0.00	0.20	0.19	190103	154039	6
28	0.89	86	14	7	1	Sitkaspruce	Mix	8_15years	0.00	0.00	0.88	0.88	0.00	0.01	0.01	0.00	0.15	0.22	NA	NA	6
29	0.8	78	11	6	0	Sitkaspruce	Mix	8_15years	0.00	0.00	0.88	0.88	0.00	0.01	0.01	0.00	0.20	0.21	190043	154135	6
30	0.89	102	16	10	0	Sitkaspruce	Mix	8_15years	0.88	0.03	0.88	0.74	0.00	0.01	0.01	0.00	0.20	0.56	190090	154148	6
31	1.02	161	23	2	6	Ash	Mix	8_15years	0.00	0.88	0.01	0.00	0.05	0.00	0	0.05	0.00	0.11	190201	153792	6
32	1.07	139	23	3	6	Ash	Mix	8_15years	0.03	0.73	0.02	0.00	0.06	0.00	0	0.06	0.00	0.62	190098	153856	6
33	1.11	47	17	1	3	Sitkaspruce	Mix	5years	0.02	0.59	0.25	0.00	0.00	0.00	0	0.00	0.00	0.12	172092	165151	7
34	0.85	35	11	1	1	Sitkaspruce	Mix	5years	0.02	0.69	0.44	0.00	0.00	0.00	0	0.00	0.00	0.07	172155	165146	7
35	0.63	24	6	0	2	Sitkaspruce	Mix	5years	0.01	0.37	0.54	0.00	0.00	0.00	0	0.00	0.00	0.20	172193	165174	7
36	0.59	24	6	2	1	Sitkaspruce	Mix	5years	0.03	0.15	0.73	0.00	0.00	0.00	0	0.00	0.00	0.10	172242	165181	7
37	0.86	38	11	0	2	Ash	Mix	5years	0.00	0.59	0.27	0.00	0.00	0.00	0	0.00	0.00	0.16	171916	165149	7
38	0.88	14	8	2	1	Ash	Mix	5years	0.03	0.59	0.64	0.00	0.00	0.00	0	0.00	0.00	0.22	171973	165154	7
39	1.11	23	14	2	5	Sitkaspruce	Mix	5years	0.02	0.18	0.63	0.00	0.00	0.00	0	0.00	0.00	0.20	172036	165156	7
40	0.82	27	8	1	2	Ash	Pure	5years	0.10	0.22	0.09	0.00	0.02	0.11	0.05	0.02	0.00	0.18	177462	227684	8
41	0.82	12	7	2	1	Ash	Pure	5years	0.06	0.24	0.30	0.00	0.08	0.07	0.02	0.08	0.00	0.15	177536	227718	8
42	1.04	19	12	1	4	Ash	Pure	5years	0.08	0.20	0.03	0.00	0.15	0.12	0.05	0.15	0.00	0.20	177556	227773	8
43	1.08	25	13	2	3	Ash	Pure	5years	0.15	0.15	0.53	0.00	0.13	0.00	0.05	0.13	0.00	0.31	177591	227813	8
44	0.89	29	10	1	3	Ash	Pure	5years	0.06	0.24	0.73	0.00	0.00	0.00	0	0.00	0.00	0.44	177631	227864	8
45	0.92	103	14	7	0	Sitkaspruce	Pure	35_50years	0.48	0.00	0.00	0.29	0.00	0.34	0.45	0.00	0.10	0.81	191432	168559	9
46	1.02	119	16	6	0	Sitkaspruce	Pure	35_50years	0.10	0.00	0.00	0.88	0.00	0.17	0.4	0.00	0.15	0.71	191540	168610	9
47	1.06	130	20	7	1	Sitkaspruce	Pure	35_50years	0.00	0.00	0.00	0.88	0.00	0.11	0.03	0.00	0.25	0.95	191621	168692	9
48	0.87	127	13	7	0	Sitkaspruce	Pure	35_50years	0.00	0.00	0.00	0.88	0.00	0.39	0.25	0.00	0.15	0.59	191679	168727	9
49	1.03	100	18	9	0	Sitkaspruce	Pure	35_50years	0.00	0.00	0.00	0.88	0.00	0.08	0.01	0.00	0.10	0.56	191679	168843	9
50	0.93	134	18	1	5	Ash	Pure	5years	0.01	0.83	0.20	0.00	0.00	0.00	0	0.00	0.00	0.19	253961	239419	10
51	1.15	59	20	2	5	Ash	Pure	5years	0.01	0.78	0.11	0.00	0.00	0.00	0	0.00	0.00	0.14	253898	239398	10
52	1.08	37	14	1	6	Ash	Pure	5years	0.01	0.68	0.31	0.00	0.00	0.00	0	0.00	0.00	0.14	253851	239381	10
53	1.03	52	13	1	3	Ash	Pure	5years	0.00	0.63	0.39	0.00	0.00	0.00	0	0.00	0.00	0.17	253801	239388	10
54	1.1	85	21	1	5	Ash	Pure	5years	0.03	0.68	0.35	0.00	0.00	0.00	0	0.00	0.00	0.20	253746	239365	10
55	0.96	101	13	6	0	Sitkaspruce	Pure	25_30years	0.15	0.00	0.03	0.88	0.00	0.05	0.18	0.00	0.50	0.57	158507	191304	11
56	0.79	160	16	7	1	Sitkaspruce	Pure	25_30years	0.02	0.00	0.03	0.78	0.00	0.27	0.27	0.00	0.30	0.19	158422	191315	11
57	0.86	116	15	9	0	Sitkaspruce	Pure	25_30years	0.22	0.00	0.03	0.63	0.00	0.25	0.4	0.00	0.25	0.11	158372	191389	11
58	0.92	123	13	6	0	Sitkaspruce	Pure	25_30years	0.02	0.00	0.06	0.88	0.00	0.11	0.11	0.00	0.70	0.44	158320	191455	11
59	0.96	62	14	6	1	Sitkaspruce	Pure	25_30years	0.37	0.00	0.03	0.44	0.00	0.27	0.28	0.00	0.40	0.93	158434	191413	11
60	0.62	183	15	3	2	Ash	Mix	8_15years	0.03	0.54	0.41	0.00	0.03	0.00	0	0.03	0.00	0.33	NA	NA	12
61	0.85	94	19	5	3	Ash	Mix	8_15years	0.22	0.58	0.25	0.00	0.22	0.19	0.02	0.22	0.00	0.19	NA	NA	12
62	1.16	145	23	4	2	Sitkaspruce	Mix	8_15years	0.15	0.44	0.88	0.63	0.00	0.00	0	0.00	0.00	0.75	114241	81856	12
63	1.22	155	24	5	1	Sitkaspruce	Mix	8_15years	0.34	0.63	0.78	0.13	0.00	0.00	0	0.00	0.03	0.82	114221	81796	12
64	1.18	120	23	3	2	Sitkaspruce	Mix	8_15years	0.18	0.61	0.78	0.27	0.00	0.03	0	0.00	0.03	0.90	114197	81750	12
65	1.16	133	23	8	0	Sitkaspruce	Mix	8_15years	0.30	0.02	0.88	0.74	0.06	0.06	0.02	0.06	0.05	0.51	114146	81729	12
66	1.18	149	25	3	4	Sitkaspruce	Mix	8_15years	0.34	0.78	0.48	0.03	0.00	0.00	0	0.00	0.00	0.94	114245	81929	12
67	0.57	65	10	3	0	Ash	Pure	35_50years	0.88	0.12	0.16	0.88	0.00	0.00	0.05	0.00	0.00	0.56	283113	232241	13
68	1.03	52	14	6	2	Ash	Pure	35_50years	0.83	0.01	0.00	0.03	0.03	0.00	0.05	0.03	0.00	0.12	283152	232286	13
69	1.19	60	21	9	1	Ash	Pure	35_50years	0.36	0.69	0.38	0.03	0.01	0.00	0.2	0.01	0.00	0.11	283210	232357	13
70	0.82	29	10	6	1	Ash	Pure	35_50years	0.22	0.03	0.00	0.00	0.76	0.02	0.2	0.76	0.00	0.07	283262	232319	13
